date,symbol,opening_price,high_price,low_price,closing_price
2019-01-04,ABB,169.1,170.6,168.8,170.2
2019-01-04,ALFA,184.6,190.2,184.6,187.8
2019-01-04,ALIV-SDB,611.0,627.2,611.0,622.8
2019-01-04,ASSA-B,154.8,156.4,154.7,156.2
2019-01-04,ATCO-A,207.4,212.4,207.2,212.1
2019-01-04,ATCO-B,190.0,195.5,190.0,195.1
2019-01-04,AXFO,152.3,153.2,151.9,152.4
2019-01-04,BOL,185.04,191.06,184.54,190.82
2019-01-04,DAX,10526.40,10626.72,10483.67,10594.86
2019-01-04,ELUX-A,202.0,202.0,202.0,202.0
2019-01-04,ELUX-B,184.4,184.8,183.0,183.8
2019-01-04,EURSEK,10.2589,10.2657,10.2345,10.2452
2019-01-04,GLD,122.43,122.43,122.43,122.43
2019-01-04,HOLM-B,173.3,175.0,173.1,173.8
2019-01-04,HUSQ-B,64.40,65.04,64.12,64.38
2019-01-04,ICA,319.2,319.8,317.1,317.7
2019-01-04,NCC-B,138.1,140.8,138.1,138.4
2019-01-04,NDA-SEK,76.60,78.04,75.91,77.91
2019-01-04,NIBE-B,90.5,91.8,90.5,90.8
2019-01-04,OMX,1399.93,1417.07,1399.93,1415.54
2019-01-04,PEAB-B,71.80,73.70,71.80,72.40
2019-01-04,SAAB-B,298.4,308.2,298.4,306.2
2019-01-04,SAND,123.30,126.55,123.30,126.25
2019-01-04,SCA-B,67.5,68.3,67.1,67.6
2019-01-04,SEB-A,87.84,88.60,87.10,88.46
2019-01-04,SECU-B,139.00,139.80,137.90,139.65
2019-01-04,SHB-A,99.25,100.67,98.69,100.41
2019-01-04,SKA-B,141.25,143.85,141.25,142.95
2019-01-04,SKF-A,131.4,133.4,131.4,132.4
2019-01-04,SKF-B,130.9,133.3,130.9,133.1
2019-01-04,SLV,14.7500,14.7500,14.7500,14.7500
2019-01-04,SP500,2491.92,2493.14,2443.96,2447.89
2019-01-04,SSAB-A,30.00,30.75,29.81,30.61
2019-01-04,SSAB-B,24.40,25.08,24.40,24.99
2019-01-04,STE-R,103.30,104.90,102.60,104.50
2019-01-04,SWED-A,199.4,201.6,198.5,201.4
2019-01-04,TEL2-B,111.60,112.60,111.40,111.75
2019-01-04,TELIA,42.84,43.05,42.72,42.76
2019-01-04,TREL-B,136.10,138.95,136.10,138.05
2019-01-04,USDSEK,9.0090,9.0090,8.9743,8.9834
2019-01-04,VIX,24.40,24.48,23.83,24.14
2019-01-04,VOLV-A,114.00,117.30,114.00,117.10
2019-01-04,VOLV-B,114.36,117.22,114.36,116.62
